"Name","PID","AT","BT","CT","TAT","WT","RT"
"Process 3","3","0","2","2","2","0","0"
"Process 4","4","6","3","9","3","0","0"
"Process 0","0","6","5","14","8","3","3"
"Process 2","2","7","5","19","12","7","7"
"Process 1","1","7","9","28","21","12","12"
"Clock: ","28"

"Process 6","6","4","2","6","2","0","0"
"Process 8","8","4","9","15","11","2","2"
"Process 5","5","7","9","24","17","8","8"
"Process 7","7","9","7","31","22","15","15"
"Process 9","9","9","6","37","28","22","22"
"Clock: ","37"

"Process 11","11","3","3","6","3","0","0"
"Process 14","14","3","8","14","11","3","3"
"Process 10","10","4","7","21","17","10","10"
"Process 12","12","7","1","22","15","14","14"
"Process 13","13","7","6","28","21","15","15"
"Clock: ","28"

